GR ,UGA,"Men's 10,000m",Joshua Kiprui CHEPTEGEI,athletics
GR ,AUS,Men's 20km Race Walk,Dane BIRD-SMITH,athletics
GR ,KEN,Men's 3000m Steeplechase,Conseslus KIPRUTO,athletics
GR ,JAM,Men's Discus Throw,Fedrick DACRES,athletics
GR ,ENG,Men's Hammer Throw,Nick MILLER,athletics
GR ,RSA,Men's Long Jump,Luvo MANYONGA,athletics
GR ,NZL,Men's Shot Put,Tomas WALSH,athletics
GR ,AUS,Men's Sprint,Matt GLAETZER,athletics
GR ,RSA,Women's 1500m,Caster SEMENYA,athletics
GR ,BAH,Women's 200m,Shaunae MILLER-UIBO,athletics
GR ,RSA,Women's 800m,Caster SEMENYA,athletics
GR ,AUS,Women's Discus Throw,Dani STEVENS,athletics
GR ,AUS,Women's Javelin Throw,Kathryn MITCHELL,athletics
GR ,CAN,Women's Pole Vault,Alysha NEWMAN,athletics
GR ,AUS,Women's Sprint,Stephanie MORTON,athletics
GR ,AUS,Men's 1000m Time Trial,Matt GLAETZER,cycling
GR ,ENG,Men's 4000m Individual Pursuit,Charlie TANFIELD,cycling
WR ,SCO,Men's B&VI Sprint,Neil FACHIE,cycling
GR ,SCO,Women's 3000m Individual Pursuit,Katie ARCHIBALD,cycling
WR ,ENG,Women's B&VI Sprint,Sophie THORNHILL,cycling
GR ,IND,Women's 10m Air Pistol,Manu BHAKER,shooting
GR ,IND,Women's 10m Air Rifle,Mehuli GHOSH,shooting
GR ,SGP,Women's 10m Air Rifle,Martina Lindsay VELOSO,shooting
GR ,IND,Women's 25m Pistol,Heena SIDHU,shooting
GR ,IND,Women's 50m Rifle 3 Positions,Tejaswini SAWANT,shooting
GR ,SGP,Women's 50m Rifle Prone,Martina Lindsay VELOSO,shooting
GR ,CYP,Women's Skeet,Andri ELEFTHERIOU,shooting
GR ,AUS,Women's Trap,Laetisha SCANLAN,shooting
GR ,ENG,Men's 100m Breaststroke,Adam PEATY,swimming
GR ,RSA,Men's 100m Butterfly,Chad LE CLOS,swimming
GR ,RSA,Men's 200m Butterfly,Chad LE CLOS,swimming
GR ,AUS,Men's 200m Individual Medley,Mitch LARKIN,swimming
GR ,ENG,Men's 50m Breaststroke,Adam PEATY,swimming
GR ,ENG,Men's 50m Freestyle,Benjamin PROUD,swimming
GR ,CAN,Women's 100m Backstroke,Kylie MASSE,swimming
GR ,AUS,Women's 100m Butterfly,Emma MCKEON,swimming
GR ,AUS,Women's 100m Freestyle,Bronte CAMPBELL,swimming
GR ,CAN,Women's 200m Backstroke,Kylie MASSE,swimming
GR ,WAL,Women's 200m Butterfly,Alys THOMAS,swimming
GR ,CAN,Women's 200m Freestyle,Taylor RUCK,swimming
GR ,AUS,Women's 400m Freestyle,Ariarne TITMUS,swimming
GR ,AUS,Women's 50m Freestyle,Cate CAMPBELL,swimming
GR ,NZL,Men's +105kg,David LITI,weightlifting
GR ,PAK,Men's 62kg - Snatch,Talha TALIB,weightlifting
CR ,PNG,Men's 94kg - Clean & Jerk,Steven KARI,weightlifting
GR ,PNG,Men's 94kg - Clean & Jerk,Steven KARI,weightlifting
GR ,CAN,Men's 94kg - Snatch,Boady SANTAVY,weightlifting
CR ,IND,Women's 48kg,Chanu Saikhom MIRABAI,weightlifting
GR ,IND,Women's 48kg,Chanu Saikhom MIRABAI,weightlifting
CR ,IND,Women's 48kg - Clean & Jerk,Chanu Saikhom MIRABAI,weightlifting
GR ,IND,Women's 48kg - Clean & Jerk,Chanu Saikhom MIRABAI,weightlifting
CR ,IND,Women's 48kg - Snatch,Chanu Saikhom MIRABAI,weightlifting
GR ,IND,Women's 48kg - Snatch,Chanu Saikhom MIRABAI,weightlifting
GR ,IND,Women's 53kg - Snatch,Sanjita Chanu KHUMUKCHAM,weightlifting
GR ,CAN,Women's 63kg - Clean & Jerk,Maude CHARRON,weightlifting
